date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_diff,start_order
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,FINISHED,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---CHN01,People's Republic of China,Team,CHN,China,1.0,313.5538,POINTS,,10
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,FINISHED,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---ESP01,Spain,Team,ESP,Spain,2.0,287.1475,POINTS,26.4063,9
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,FINISHED,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---JPN01,Japan,Team,JPN,Japan,3.0,284.9017,POINTS,28.6521,8
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,FINISHED,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---USA01,United States of America,Team,USA,United States,4.0,282.7567,POINTS,30.7971,7
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,FINISHED,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---ITA01,Italy,Team,ITA,Italy,5.0,277.8304,POINTS,35.7234,6
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,FINISHED,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---FRA01,France,Team,FRA,France,6.0,277.7925,POINTS,35.7613,2
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,FINISHED,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---CAN01,Canada,Team,CAN,Canada,7.0,262.4808,POINTS,51.0730,4
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,FINISHED,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---MEX01,Mexico,Team,MEX,Mexico,8.0,242.9491,POINTS,70.6047,5
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,FINISHED,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---EGY01,Egypt,Team,EGY,Egypt,9.0,242.7651,POINTS,70.7887,1
2024-08-05T21:49:47+02:00,SWAOTEAM8-------------FNL-000300--,SWAOTEAM8,Team,Team Technical Routine,Technical Routine,FINISHED,O,Artistic Swimming,SWA,Aquatics Centre,SWAWTEAM8---AUS01,Australia,Team,AUS,Australia,10.0,235.9071,POINTS,77.6467,3
