date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,rank,result,result_type,result_IRM,result_diff,qualification_mark,start_order,bib
2024-08-07T13:26:28+02:00,CTRMSPRINT------------QUAL000100--,CTRMSPRINT,Men's Sprint,"Men's Sprint, Qualifying",Qualifying,FINISHED,M,Cycling Track,CTR,National Velodrome,1969182,LAVREYSEN Harrie,Person,NED,Netherlands,1.0,9.088,TIME,,,Q,30,208
2024-08-07T13:26:28+02:00,CTRMSPRINT------------QUAL000100--,CTRMSPRINT,Men's Sprint,"Men's Sprint, Qualifying",Qualifying,FINISHED,M,Cycling Track,CTR,National Velodrome,1940263,RICHARDSON Matthew,Person,AUS,Australia,2.0,9.091,TIME,,+0.003,Q,26,86
2024-08-07T13:26:28+02:00,CTRMSPRINT------------QUAL000100--,CTRMSPRINT,Men's Sprint,"Men's Sprint, Qualifying",Qualifying,FINISHED,M,Cycling Track,CTR,National Velodrome,1898251,YAKOVLEV Mikhail,Person,ISR,Israel,3.0,9.152,TIME,,+0.064,Q,24,176
2024-08-07T13:26:28+02:00,CTRMSPRINT------------QUAL000100--,CTRMSPRINT,Men's Sprint,"Men's Sprint, Qualifying",Qualifying,FINISHED,M,Cycling Track,CTR,National Velodrome,1940260,HOFFMAN Leigh,Person,AUS,Australia,4.0,9.242,TIME,,+0.154,Q,13,82
2024-08-07T13:26:28+02:00,CTRMSPRINT------------QUAL000100--,CTRMSPRINT,Men's Sprint,"Men's Sprint, Qualifying",Qualifying,FINISHED,M,Cycling Track,CTR,National Velodrome,1912515,CARLIN Jack,Person,GBR,Great Britain,5.0,9.247,TIME,,+0.159,Q,28,144
2024-08-07T13:26:28+02:00,CTRMSPRINT------------QUAL000100--,CTRMSPRINT,Men's Sprint,"Men's Sprint, Qualifying",Qualifying,FINISHED,M,Cycling Track,CTR,National Velodrome,1969203,HOOGLAND Jeffrey,Person,NED,Netherlands,6.0,9.293,TIME,,+0.205,Q,29,207
2024-08-07T13:26:28+02:00,CTRMSPRINT------------QUAL000100--,CTRMSPRINT,Men's Sprint,"Men's Sprint, Qualifying",Qualifying,FINISHED,M,Cycling Track,CTR,National Velodrome,1912568,TURNBULL Hamish,Person,GBR,Great Britain,7.0,9.346,TIME,,+0.258,Q,8,149
2024-08-07T13:26:28+02:00,CTRMSPRINT------------QUAL000100--,CTRMSPRINT,Men's Sprint,"Men's Sprint, Qualifying",Qualifying,FINISHED,M,Cycling Track,CTR,National Velodrome,1945738,OTA Kaiya,Person,JPN,Japan,8.0,9.350,TIME,,+0.262,Q,22,192
2024-08-07T13:26:28+02:00,CTRMSPRINT------------QUAL000100--,CTRMSPRINT,Men's Sprint,"Men's Sprint, Qualifying",Qualifying,FINISHED,M,Cycling Track,CTR,National Velodrome,1912786,PAUL Nicholas,Person,TTO,Trinidad and Tobago,9.0,9.371,TIME,,+0.283,Q,25,242
2024-08-07T13:26:28+02:00,CTRMSPRINT------------QUAL000100--,CTRMSPRINT,Men's Sprint,"Men's Sprint, Qualifying",Qualifying,FINISHED,M,Cycling Track,CTR,National Velodrome,1550227,AWANG Mohd Azizulhasni,Person,MAS,Malaysia,10.0,9.402,TIME,,+0.314,Q,19,200
2024-08-07T13:26:28+02:00,CTRMSPRINT------------QUAL000100--,CTRMSPRINT,Men's Sprint,"Men's Sprint, Qualifying",Qualifying,FINISHED,M,Cycling Track,CTR,National Velodrome,1572958,RUDYK Mateusz,Person,POL,Poland,11.0,9.416,TIME,,+0.328,Q,27,229
