date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_WLT,bib
2024-08-05T15:14:49+02:00,WREMGR130KG-----------8FNL000100--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1544882,MIRZAZADEH Amin,Person,IRI,IR Iran,3,W,1
2024-08-05T15:14:49+02:00,WREMGR130KG-----------8FNL000100--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1955302,COON Adam Jacob,Person,USA,United States,1,L,9
2024-08-05T15:25:44+02:00,WREMGR130KG-----------8FNL000200--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1571506,LOPEZ NUNEZ Mijain,Person,CUB,Cuba,7,W,10
2024-08-05T15:25:44+02:00,WREMGR130KG-----------8FNL000200--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1891034,LEE Seungchan,Person,KOR,Korea,0,L,8
2024-08-05T15:45:34+02:00,WREMGR130KG-----------8FNL000400--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1935538,SYZDYKOV Alimkhan,Person,KAZ,Kazakhstan,3,W,12
2024-08-05T15:45:34+02:00,WREMGR130KG-----------8FNL000400--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1540262,ALEXUC CIURARIU Alin,Person,ROU,Romania,1,L,4
2024-08-05T16:02:01+02:00,WREMGR130KG-----------8FNL000600--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1894774,ASSAD Oussama,Person,MAR,Morocco,0,L,14
2024-08-05T16:02:01+02:00,WREMGR130KG-----------8FNL000600--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1888976,KNYSTAUTAS Mantas,Person,LTU,Lithuania,9,W,6
2024-08-05T16:07:19+02:00,WREMGR130KG-----------8FNL000500--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1919983,MENG Lingzhe,Person,CHN,China,4,W,3
2024-08-05T16:07:19+02:00,WREMGR130KG-----------8FNL000500--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1558955,KRAHMER Jello,Person,GER,Germany,1,L,13
2024-08-05T16:11:22+02:00,WREMGR130KG-----------8FNL000300--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1932478,NABI Heiki,Person,EST,Estonia,1,L,5
2024-08-05T16:11:22+02:00,WREMGR130KG-----------8FNL000300--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1947191,SHARIATI Sabah Saleh,Person,AZE,Azerbaijan,1,W,11
2024-08-05T16:15:15+02:00,WREMGR130KG-----------8FNL000700--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1935199,ACOSTA FERNANDEZ Yasmani,Person,CHI,Chile,1,W,7
2024-08-05T16:15:15+02:00,WREMGR130KG-----------8FNL000700--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1559474,MILOV Kiril Milenov,Person,BUL,Bulgaria,1,L,15
2024-08-05T16:23:17+02:00,WREMGR130KG-----------8FNL000800--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1572158,BAKIR Muhammet Hamza,Person,TUR,Türkiye,1,L,16
2024-08-05T16:23:17+02:00,WREMGR130KG-----------8FNL000800--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/8 Final,1/8 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1562609,MOHAMED Abdellatif,Person,EGY,Egypt,3,W,2
2024-08-05T16:31:52+02:00,WREMGR130KG-----------QFNL000100--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/4 Final,1/4 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1544882,MIRZAZADEH Amin,Person,IRI,IR Iran,1,L,1
2024-08-05T16:31:52+02:00,WREMGR130KG-----------QFNL000100--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/4 Final,1/4 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1571506,LOPEZ NUNEZ Mijain,Person,CUB,Cuba,3,W,10
2024-08-05T16:42:47+02:00,WREMGR130KG-----------QFNL000200--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/4 Final,1/4 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1947191,SHARIATI Sabah Saleh,Person,AZE,Azerbaijan,4,W,11
2024-08-05T16:42:47+02:00,WREMGR130KG-----------QFNL000200--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/4 Final,1/4 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1935538,SYZDYKOV Alimkhan,Person,KAZ,Kazakhstan,0,L,12
2024-08-05T16:55:33+02:00,WREMGR130KG-----------QFNL000300--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/4 Final,1/4 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1919983,MENG Lingzhe,Person,CHN,China,1,W,3
2024-08-05T16:55:33+02:00,WREMGR130KG-----------QFNL000300--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/4 Final,1/4 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1888976,KNYSTAUTAS Mantas,Person,LTU,Lithuania,1,L,6
2024-08-05T17:06:46+02:00,WREMGR130KG-----------QFNL000400--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/4 Final,1/4 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1935199,ACOSTA FERNANDEZ Yasmani,Person,CHI,Chile,2,W,7
2024-08-05T17:06:46+02:00,WREMGR130KG-----------QFNL000400--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg 1/4 Final,1/4 Final,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1562609,MOHAMED Abdellatif,Person,EGY,Egypt,1,L,2
2024-08-05T21:39:50+02:00,WREMGR130KG-----------SFNL000100--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg Semifinal,Semifinal,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1571506,LOPEZ NUNEZ Mijain,Person,CUB,Cuba,4,W,10
2024-08-05T21:39:50+02:00,WREMGR130KG-----------SFNL000100--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg Semifinal,Semifinal,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1947191,SHARIATI Sabah Saleh,Person,AZE,Azerbaijan,1,L,11
2024-08-05T21:51:54+02:00,WREMGR130KG-----------SFNL000200--,WREMGR130KG,Men's Greco-Roman 130kg,Men's Greco-Roman 130kg Semifinal,Semifinal,FINISHED,M,Wrestling,WRE,Champ-de-Mars Arena,1919983,MENG Lingzhe,Person,CHN,China,1,L,3
